NODE	NODE_CATEGORY	LEAF_CNT	CATEGORY_CNT	LEAF_PCT	MDE_AMB	MDE_ELE	NCD_AMB	NCD_ELE	NTS_CREO_AMB	NTS_CREO_ELE	NTS_CRUST_AMB	NTS_CRUST_ELE	ORNL_AMB	ORNL_ELE	CRUST_AMB_064	CRUST_ELE_004
158	Gammaproteobacteria	34	1	49.3	524	540	208	263	145	275	151	329	312	272	81	90
159	Gammaproteobacteria	8	1	11.6	18	15	6	8	5	7	4	5	11	5	2	4
160	Gammaproteobacteria	7	1	10.1	31	35	13	14	3	7	4	16	15	13	3	5
161	Gammaproteobacteria	2	1	2.9	0	0	1	0	0	0	0	0	0	0	0	0
162	Gammaproteobacteria	5	1	7.2	8	14	5	6	5	7	4	7	5	9	1	2
163	Gammaproteobacteria	4	1	5.8	29	21	3	8	6	5	3	8	8	10	1	2
164	Gammaproteobacteria	2	1	2.9	5	15	1	6	3	3	1	1	3	6	1	2
165	Gammaproteobacteria	2	1	2.9	41	30	10	2	7	11	5	12	8	8	2	7
166	Gammaproteobacteria	26	1	37.7	686	650	320	447	276	479	271	469	475	428	140	155
167	Gammaproteobacteria	6	1	8.7	9	7	2	1	0	5	0	5	4	3	1	0
168	Gammaproteobacteria	2	1	2.9	18	11	11	7	2	10	1	6	14	14	3	2
169	Gammaproteobacteria	4	1	5.8	1	0	0	0	1	0	1	0	0	0	0	0
170	Gammaproteobacteria	3	1	4.3	0	0	0	1	0	0	0	2	1	0	0	0
171	Gammaproteobacteria	2	1	2.9	3	5	3	5	3	4	3	11	8	4	1	1
172	Gammaproteobacteria	20	1	29	95	82	36	46	26	53	28	53	62	47	11	27
173	Gammaproteobacteria	7	1	10.1	21	29	13	10	7	11	6	17	16	14	2	2
174	Gammaproteobacteria	4	1	5.8	1	3	0	0	0	1	0	1	1	2	0	0
175	Gammaproteobacteria	3	1	4.3	30	30	10	12	5	17	9	9	13	13	6	6
176	Gammaproteobacteria	2	1	2.9	11	8	2	8	3	3	4	1	4	6	2	1
